1 25 49
10042561 38502025 66961489
18037009 38502025 58967041
4592449 38651089 72709729
23804641 38700841 53597041
2401 38800441 77598481
21464689 39000025 56535361
35058241 39000025 42941809
8025889 39100009 70174129
8427409 39100009 69772609
31281649 39150049 47018449
2719201 39300361 75881521
27636049 39400729 51165409
1100401 39702601 78304801
3066001 39753025 76440049
6932689 39753025 72573361
17048641 39753025 62457409
24137569 39753025 55368481
117649 39904489 79691329
5997601 40056241 74114881
1868689 40157569 78446449
14984641 40208281 65431921
20802721 40208281 59613841
134689 40360609 80586529
5564881 40462321 75359761
9878449 40615129 71351809
17648401 40768225 63888049
39325441 40768225 42211009
36493681 40819321 45144961
33721249 40921609 48121969
1825201 40972801 80120401
38925121 40972801 43020481
410881 41075281 81739681
1168561 41075281 80982001
31013761 41075281 51136801
34939921 41075281 47210641
4330561 41229241 78127921
11175649 41280625 71385601
28376929 41280625 54184321
5329 41434969 82864609
14691889 41434969 68178049
7612081 41538025 75463969
25816561 41538025 57259489
27363361 41589601 55815841
23338561 41847961 60357361
9443329 41899729 74356129
23804641 42003361 60202081
625681 42055225 83484769
3236401 42055225 80874049
11950849 42211009 72471169
20948929 42211009 63473089
889249 42315025 83740801
2745649 42315025 81884401
20421361 42523441 64625521
18653761 42627841 66601921
2289169 42941809 83594449
247009 43099225 85951441
9443329 43099225 76755121
16459249 43099225 69739201
38850289 43099225 47348161
17230801 43151761 69072721
34774609 43256929 51739249
6355441 43309561 80263681
1560001 43626025 85692049
14371681 43626025 72880369
3869089 43731769 83594449
42211009 43731769 45252529
277729 43784689 87291649
39225169 43784689 48344209
1495729 43890625 86285521
27050401 43890625 60730849
33443089 44049769 54656449
5013121 44102881 83192641
7187761 44102881 81018001
39601 44209201 88378801
12397441 44209201 76020961
30658369 44262409 57866449
23435281 44368921 65302561
27952369 44528929 61105489
11498881 44742721 77986561
10543009 44849809 79156609
25331089 44849809 64368529
863041 44903401 88943761
2430481 45010681 87590881
5202961 45225625 85248289
43020481 45225625 47430769
38725729 45333289 51940849
10609 45387169 90763729
8814961 45549001 82283041
34562641 45549001 56535361
16785409 45657049 74528689
20367169 45657049 70946929
8994001 45711121 82428241
2765569 45873529 88981489
30547729 45873529 61199329
398161 45981961 91565761
18037009 46144849 74252689
7219969 46308025 85396081
26697889 46308025 65918161
3508129 46471489 89434849
13786369 46471489 79156609
167281 46635241 93103201
15816529 46689889 77563249
6754801 46799281 86843761
23030401 46854025 70677649
45252529 46854025 48455521
39025009 47018449 55011889
108241 47128225 94148209
5764801 47128225 88491649
36012001 47183161 58354321
19562929 47513449 75463969
42941809 47513449 52085089
30217009 47679025 65141041
38551681 47679025 56806369
2122849 47844889 93566929
516961 47955625 95394289
34304449 47955625 61606801
4456321 48011041 91565761
4800481 48011041 91221601
16313521 48288601 80263681
529 48344209 96687889
30217009 48344209 66471409
8532241 48455521 88378801
9878449 48678529 87478609
22193521 48846121 75498721
26306641 48846121 71385601
3301489 48958009 94614529
591361 49014001 97436641
13300609 49182169 85063729
1067089 49350625 97634161
19722481 49350625 78978769
8162449 49463089 90763729
22591009 49463089 76335169
82369 49632025 99181681
6315169 49632025 92948881
47430769 49801249 52171729
2307361 49970761 97634161
38328481 50140561 61952641
48455521 50140561 51825601
214369 50197225 100180081
10543009 50197225 89851441
19088161 50197225 81306289
45144961 50197225 55249489
6589489 50310649 94031809
41899729 50310649 58721569
15124321 50537881 85951441
35628961 50708641 65788321
1825201 50822641 99820081
361201 50993881 101626561
32615521 50993881 69372241
1481089 51051025 100620961
15816529 51051025 86285521
5166529 51222649 97278769
13010449 51222649 89434849
8059921 51337225 94614529
29691601 51337225 72982849
25877569 51509329 77141089
26863489 51739249 76615009
12794929 52027369 91259809
829921 52200625 103571329
22118209 52200625 82283041
47348161 52258441 57168721
2798929 52374169 101949409
844561 52432081 104019601
42627841 52432081 62236321
5870929 52606009 99341089
21520321 52722121 83923921
38056561 52722121 67387681
25921 52780225 105534529
9186961 52780225 96373489
10042561 53129521 96216481
33651601 53129521 72607441
2798929 53246209 103693489
361201 53421481 106481761
51825601 53597041 55368481
7491169 53655625 99820081
48344209 53655625 58967041
44930209 53772889 62615569
1540081 53949025 106357969
15295921 53949025 92602129
16638241 53949025 91259809
41589601 53949025 66308449
3996001 54007801 104019601
229441 54184321 108139201
38328481 54184321 70040161
25411681 54302161 83192641
1868689 54361129 106853569
7579009 54361129 101143249
14386849 54656449 94926049
82369 54715609 109348849
52171729 54715609 57259489
32069569 54834025 77598481
47210641 54834025 62457409
12271009 55011889 97752769
21613201 55071241 88529281
42393121 55071241 67749361
29084449 55249489 81414529
12271009 55428025 98585041
37736449 55428025 73119601
1117249 55547209 109977169
2455489 55547209 108638929
4566769 55606849 106646929
5424241 55726225 106028209
26204161 55726225 85248289
33258289 55905529 78552769
18054001 55965361 93876721
961 56085121 112169281
10297681 56265001 102232321
23435281 56265001 89094721
28976689 56505289 84033889
3352561 56685841 110019121
552049 56806369 113060689
20784481 56866681 92948881
14753281 56987401 99221521
8473921 57168721 105863521
1270129 57229225 113188321
3598609 57229225 110859841
24910081 57229225 89548369
55368481 57229225 59089969
52085089 57350329 62615569
48121969 57410929 66699889
124609 57532225 114939841
7091569 57532225 107972881
18258529 57532225 96805921
47018449 57532225 68046001
44609041 57592921 70576801
21077281 58079641 95082001
6806881 58140625 109474369
37834801 58140625 78446449
15864289 58262689 100661089
37368769 58262689 79156609
34586161 58507201 82428241
32821441 58813561 84805681
2122849 58874929 115627009
4977361 58997761 113018161
461041 59059225 117657409
1456849 59059225 116661601
13608721 59059225 104509729
17497489 59059225 100620961
9006001 59428681 109851361
28398241 59428681 90459121
10609 59552089 119093569
11498881 59923081 108347281
